"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 21 09:55:17 UTC 2026","Sun Jun 21 09:55:28 UTC 2026","10396","","tests.ui.DragAndDropTest","","tests.ui.DragAndDropTest","testDragAndDrop","testDragAndDrop()",""
"passed","Sun Jun 21 09:55:17 UTC 2026","Sun Jun 21 09:55:27 UTC 2026","10366","","tests.ui.DynamicContentTest","","tests.ui.DynamicContentTest","assetImagesCountTest","assetImagesCountTest()",""
"passed","Sun Jun 21 09:55:17 UTC 2026","Sun Jun 21 09:55:28 UTC 2026","10393","","tests.ui.AddElementsTest","","tests.ui.AddElementsTest","addElementTest","addElementTest()",""
"passed","Sun Jun 21 09:55:28 UTC 2026","Sun Jun 21 09:55:37 UTC 2026","8964","","tests.ui.DynamicLoadingTest","","tests.ui.DynamicLoadingTest","helloWorldVisibleTest1","helloWorldVisibleTest1()",""
"passed","Sun Jun 21 09:55:28 UTC 2026","Sun Jun 21 09:55:31 UTC 2026","3246","","tests.ui.ExitIntentTest","","tests.ui.ExitIntentTest","validateModalPopsWhenMouseIsOutOfBounds","validateModalPopsWhenMouseIsOutOfBounds()",""
"passed","Sun Jun 21 09:55:27 UTC 2026","Sun Jun 21 09:55:31 UTC 2026","3875","","tests.ui.AddElementsTest","","tests.ui.AddElementsTest","deleteElementTest","deleteElementTest()",""
"passed","Sun Jun 21 09:55:31 UTC 2026","Sun Jun 21 09:55:33 UTC 2026","2151","","tests.ui.IFrameTest","","tests.ui.IFrameTest","validateTextInTextEditor","validateTextInTextEditor()",""
"passed","Sun Jun 21 09:55:27 UTC 2026","Sun Jun 21 09:55:32 UTC 2026","4453","","tests.ui.EntryAdTest","","tests.ui.EntryAdTest","modalVisibilityTest","modalVisibilityTest()",""
"passed","Sun Jun 21 09:55:31 UTC 2026","Sun Jun 21 09:55:33 UTC 2026","1714","","tests.ui.LoginTest","","tests.ui.LoginTest","testFailedLogin","testFailedLogin()",""
"passed","Sun Jun 21 09:55:17 UTC 2026","Sun Jun 21 09:55:27 UTC 2026","10039","","tests.ui.BrokenImagesTest","","tests.ui.BrokenImagesTest","checkIfImageBroken","checkIfImageBroken()",""
"passed","Sun Jun 21 09:55:28 UTC 2026","Sun Jun 21 09:55:32 UTC 2026","4920","","tests.ui.DynamicContentTest","","tests.ui.DynamicContentTest","assertRandomness","assertRandomness()",""
"passed","Sun Jun 21 09:55:17 UTC 2026","Sun Jun 21 09:55:28 UTC 2026","10834","","tests.ui.CheckboxesTest","","tests.ui.CheckboxesTest","testTwoCheckboxesChecked","testTwoCheckboxesChecked()",""
"passed","Sun Jun 21 09:55:17 UTC 2026","Sun Jun 21 09:55:27 UTC 2026","10270","","tests.ui.DownloadTest","","tests.ui.DownloadTest","downloadFirstFile","downloadFirstFile()",""
"failed","Sun Jun 21 09:55:28 UTC 2026","Sun Jun 21 09:55:32 UTC 2026","3802","","tests.ui.LoginTest","","tests.ui.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"passed","Sun Jun 21 09:55:27 UTC 2026","Sun Jun 21 09:55:37 UTC 2026","9077","","tests.ui.DynamicLoadingTest","","tests.ui.DynamicLoadingTest","helloWorldVisibleTest2","helloWorldVisibleTest2()",""
"passed","Sun Jun 21 09:55:28 UTC 2026","Sun Jun 21 09:55:31 UTC 2026","3355","","tests.ui.HorizontalSliderTest","","tests.ui.HorizontalSliderTest","moveSliderUpValidation","moveSliderUpValidation()",""
"passed","Sun Jun 21 09:55:17 UTC 2026","Sun Jun 21 09:55:27 UTC 2026","10149","","tests.ui.DropDownTest","","tests.ui.DropDownTest","selectOption2","selectOption2()",""
"failed","Sun Jun 21 09:55:17 UTC 2026","Sun Jun 21 09:55:28 UTC 2026","10810","","tests.ui.LoginTest","","tests.ui.LoginTest","testLogout","testLogout()",""
